date,SMI
12/31/2015,8818.09
1/29/2016,8319.81
2/29/2016,7843.63
3/31/2016,7807.89
4/29/2016,7960.85
5/31/2016,8216.42
6/30/2016,8020.15
7/29/2016,8127.2
8/31/2016,8202.13
9/30/2016,8139.01
10/31/2016,7827.74
11/30/2016,7875.19
12/30/2016,8219.87
1/31/2017,8291.69
2/28/2017,8545.81
3/31/2017,8658.89
4/28/2017,8812.67
5/31/2017,9016.64
6/30/2017,8906.89
7/31/2017,9055
8/31/2017,8925.45
9/29/2017,9157.46
10/31/2017,9242.18
11/30/2017,9318.77
12/29/2017,9381.87
1/31/2018,9335.4
2/28/2018,8906.38
3/30/2018,8740.97
4/30/2018,8886.26
5/31/2018,8456.95
6/29/2018,8609.3
7/31/2018,9174.33
8/31/2018,8973.56
9/28/2018,9087.99
10/31/2018,9022.16
11/30/2018,9037.76
12/31/2018,8429.3
1/31/2019,8969.27
2/28/2019,9388.94
3/29/2019,9477.84
4/30/2019,9769.74
5/31/2019,9523.98
6/28/2019,9898.24
7/31/2019,9919.27
8/30/2019,9895.65
9/30/2019,10078.32
10/31/2019,10219.82
11/29/2019,10493.24
12/31/2019,10616.94
1/31/2020,10627.88
2/28/2020,9831.03
3/31/2020,9311.92
4/30/2020,9629.4
5/29/2020,9831.49
6/30/2020,10045.3
7/31/2020,10005.9
8/31/2020,10135.56
9/30/2020,10187
10/30/2020,9587.15
11/30/2020,10476.43
12/31/2020,10703.51
1/29/2021,10591.06
2/26/2021,10522.22
3/31/2021,11047.37
4/30/2021,11022.34
5/31/2021,11363.45
6/30/2021,11942.72
7/30/2021,12116.82
8/31/2021,12411.11
9/30/2021,11642.45
10/29/2021,12108.17
11/30/2021,12159.69
12/31/2021,12875.66
